Java HotSpot(TM) 64-Bit Server VM (25.191-b12) for windows-amd64 JRE (1.8.0_191-b12), built on Oct  6 2018 09:29:03 by "java_re" with MS VC++ 10.0 (VS2010)
526.408: [GC (Allocation Failure) [PSYoungGen: 7232K->4192K(8704K)] 953441K->953489K(1218048K), 0.0230716 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
529.435: [GC (Allocation Failure) [PSYoungGen: 8288K->4192K(31744K)] 957585K->957601K(1241088K), 0.0258360 secs] [Times: user=0.11 sys=0.02, real=0.03 secs] 
531.464: [GC (Allocation Failure) [PSYoungGen: 8800K->8768K(13824K)] 962209K->962177K(1223168K), 0.0269714 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
533.497: [GC (Allocation Failure) [PSYoungGen: 13376K->13376K(32256K)] 966785K->966785K(1241600K), 0.0413013 secs] [Times: user=0.19 sys=0.00, real=0.04 secs] 
536.543: [GC (Allocation Failure) [PSYoungGen: 18496K->18464K(32256K)] 971905K->971873K(1241600K), 0.0558540 secs] [Times: user=0.25 sys=0.00, real=0.06 secs] 
538.603: [GC (Allocation Failure) [PSYoungGen: 23584K->23584K(31232K)] 976993K->976993K(1240576K), 0.0713869 secs] [Times: user=0.26 sys=0.00, real=0.07 secs] 
540.679: [GC (Allocation Failure) [PSYoungGen: 25632K->25664K(34816K)] 979041K->979073K(1244160K), 0.0771519 secs] [Times: user=0.31 sys=0.00, real=0.08 secs] 
541.758: [GC (Allocation Failure) [PSYoungGen: 27712K->27648K(36864K)] 981121K->981057K(1246208K), 0.0833777 secs] [Times: user=0.31 sys=0.00, real=0.08 secs] 
541.842: [GC (Allocation Failure) [PSYoungGen: 28160K->24064K(38912K)] 981569K->981593K(1248256K), 0.0838007 secs] [Times: user=0.38 sys=0.00, real=0.08 secs] 
541.926: [GC (Allocation Failure) [PSYoungGen: 24576K->15392K(36864K)] 982105K->982169K(1246208K), 0.0721556 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
543.001: [GC (Allocation Failure) [PSYoungGen: 16416K->6176K(39424K)] 983193K->983217K(1248768K), 0.0499177 secs] [Times: user=0.25 sys=0.00, real=0.05 secs] 
543.051: [GC (Allocation Failure) [PSYoungGen: 7200K->3104K(38400K)] 984241K->984257K(1247744K), 0.0222709 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
544.075: [GC (Allocation Failure) [PSYoungGen: 4640K->3648K(5632K)] 985793K->985841K(1214976K), 0.0153775 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
